student_id,name,age,gender,score,phone,extension,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address,city,postal,hobbies,skills_tech_python,skills_tech_excel,skills_tech_sql,skills_soft,family_siblings,family_income_father,family_income_mother,laptop_brand,laptop_year,phone_brand,phone_year
74,Brandi Reed,18,Male,90.0,,,stacy11@yahoo.com,1990-09-05 00:00:00,Python,89.0,Pending,3.7,Excellent,176.0,2013-07-28 22:26:51,,Port Randallberg,,,,,,,,,,,,,
75,,22,Female,98.0,+1-993-695-0828,,lsmith@gmail.com,2023-03-06 03:01:15,Data Science,,Active,2.71,Average,200.0,2006-03-02 10:39:00,,East Shelly,,"dark, exist",5.0,1.0,4.0,"store, position",0,294.0,207.0,Lenovo,2021,Samsung,2019
76,Anthony Hendricks,,,,+1-616-614-7591,591,,2000-07-19 00:00:00,Data Science,100.0,Inactive,,,117.0,2023-04-14 02:02:02,Millermouth,Figueroamouth,100760,"particular, lead",,,,,,,,,,,
77,Alexa Sanders,21,Male,73.0,+1-347-747-5643,,johnsonchelsea@yahoo.com,1986-12-20 00:00:00,Data Science,,Active,0.0,Excellent,256.0,2021-07-18 00:00:00,034 Cooley Way,Lake Randymouth,,,,,,,,,,,,,
79,Garrett Taylor,20,Female,,+1-553-942-9066,29066,,2005-11-18 17:34:28,Data Science,89.0,Active,0.0,Excellent,225.0,1974-11-07 16:09:00,Andrewmouth,Martinezfort,100510,,,,,,,,,,,,
80,Brandy Gray,19,Male,90.0,+1-067-664-2283,42283,ballen@barber-saunders.com,1986-04-11 00:00:00,Data Science,100.0,Active,4.49,Average,266.0,2025-07-12 00:00:00,Aarontown,Andrewborough,100622,"back, carry",,,,,,,,,,,
81,Donna Scott,19,Female,,+1-536-600-3596,596,alicia71@robles.com,1996-11-30 17:12:35,Data Science,100.0,Active,,Excellent,65.0,2015-03-29 18:51:00,Lake Hollytown,Lake Timfort,100720,"participant, spring",,,,,,,,,,,
82,Karen Baker MD,,Female,60.0,,,paul48@brown.com,1974-09-10 00:00:00,Data Science,100.0,Active,3.7,Average,68.0,2022-12-26 17:00:20,Lake Tyler,Kristinabury,100855,"garden, possible",1.0,4.0,4.0,"after, similar",4,349.0,536.0,Dell,2019,Samsung,2022
83,,18,Female,90.0,+1-338-760-7654,7654,,1995-04-15 05:21:46,Data Science,100.0,Inactive,,Good,172.0,2000-09-03 00:00:00,"Apartment 18, Tarafurt district",Ayershaven,100739,"actually, commercial",1.0,3.0,5.0,"example, defense",1,1111.0,456.0,HP,2023,Apple,2023
84,Michael Jenkins,18,Female,68.0,+1-413-587-0913,913,mcolon@gmail.com,2002-11-25 00:00:00,Data Science,100.0,Inactive,,Average,284.0,2008-04-09 00:00:00,,New Brenda,,"collection, single",4.0,4.0,1.0,"expect, fall",5,675.0,1465.0,Dell,2020,Apple,2019
85,,21,Male,75.0,+1-776-884-4761,44761,,1996-10-08 21:47:00,Data Science,,Inactive,,Excellent,95.0,1994-05-31 00:00:00,33084 Williams Point,New Nicoleside,,"trial, place",,,,,,,,,,,
86,Mario Ramirez,22,,90.0,,,zford@parker.info,2022-04-22 21:23:10,Python,100.0,Pending,0.0,,111.0,1984-03-09 07:06:32,,Deannachester,,"buy, now",,,,,,,,,,,
87,Kyle Doyle,20,Female,,,,,2001-11-27 00:00:00,Data Science,,Inactive,,,66.0,2016-05-02 00:00:00,"South Jacobview 25-kv, dom 42",Powersland,,"example, break",3.0,4.0,3.0,"PM, structure",4,491.0,426.0,Lenovo,2024,Xiaomi,2018
88,Hannah Montes,21,,,,,,2008-07-18 06:10:35,Python,68.0,Active,3.81,,110.0,2022-01-30 22:39:47,Charlesshire,South Thomas,100240,"dream, forward",5.0,5.0,2.0,"like, clear",5,626.0,1045.0,Dell,2018,Apple,2023
89,James Weaver,22,Female,,+1-480-026-9976,,,2000-04-09 11:39:29,Python,100.0,Pending,,,149.0,2022-02-19 15:21:07,"Apartment 8, South Christina district",West Jonathan,100031,"anything, catch",1.0,2.0,2.0,"like, how",4,503.0,394.0,Dell,2019,Apple,2020
90,Johnny Nguyen,20,Male,,,,sherrimanning@gmail.com,2004-08-30 00:00:00,Python,,Inactive,4.5,Excellent,288.0,2003-03-15 05:06:48,,West Henrymouth,,"water, hot",,,,,,,,,,,
91,Barry Cooper,,Female,82.0,+1-676-017-8005,,,2018-05-23 00:00:00,Python,,Active,2.48,Excellent,283.0,1997-11-24 00:00:00,"Apartment 15, North Nicholas district",Georgeshire,100716,,,,,,,,,,,,
92,Peter Rogers,18,Female,,,,,1971-12-22 21:02:00,Python,,Active,4.5,Excellent,260.0,1997-07-15 00:00:00,"East Joshuaton 6-kv, dom 44",Tonytown,,,,,,,,,,,,,
93,Samantha Garcia,20,Female,,,,,2023-08-07 14:22:18,Data Science,89.0,Pending,,Excellent,195.0,2017-01-31 00:00:00,,Port Jeremyburgh,,"doctor, set",,,,,,,,,,,
96,Joel Cantrell,18,Female,91.0,+1-868-722-9572,572,john55@cox-horne.org,1984-10-14 00:00:00,Data Science,100.0,Inactive,,Average,295.0,1971-02-21 00:00:00,902 Wiggins Mill,Duncanshire,,"skill, continue",1.0,5.0,4.0,"actually, condition",3,1454.0,391.0,HP,2023,Apple,2020
98,Kathy Massey,20,Female,,+1-484-468-4408,408,kathrynsmith@brown-davis.com,1978-04-22 07:43:00,Data Science,100.0,Inactive,3.7,Average,251.0,2002-05-04 00:00:00,South Teresafurt,Eddiefort,100126,,,,,,,,,,,,
99,Christopher Williams,22,Male,,+1-136-313-7124,,bbaker@gmail.com,2022-05-16 14:15:24,Data Science,100.0,Active,,Average,265.0,1992-01-07 00:00:00,,Meganfort,,"never, agent",5.0,4.0,3.0,"necessary, billion",2,1201.0,1493.0,Lenovo,2024,Xiaomi,2024
100,,18,Female,91.0,+1-886-413-2941,32941,,2023-09-03 00:43:26,Data Science,100.0,Pending,3.7,Excellent,145.0,2021-04-10 10:50:17,West Dawnport,West Jacqueline,100196,"Mrs, director",4.0,1.0,2.0,"need, relationship",4,281.0,791.0,Dell,2015,Xiaomi,2022
101,Sharon Rodriguez,18,Male,93.0,,,,1990-05-01 02:46:14,Data Science,100.0,Pending,4.5,Excellent,169.0,2009-11-18 03:15:00,4414 Jessica Mountains Apt. 231,Tammytown,,"watch, movement",4.0,5.0,4.0,"morning, garden",3,1483.0,283.0,HP,2018,Samsung,2022
102,Gary Allison,18,Female,,+1-900-712-8211,28211,renee09@jones.org,1985-09-26 10:21:00,Python,100.0,Pending,,Good,261.0,2007-12-22 20:55:40,,Michaelmouth,,"always, wife",2.0,3.0,1.0,"several, federal",5,744.0,1338.0,Dell,2016,Samsung,2020
103,Barbara Goodman,20,Female,90.0,,,emilycarson@hotmail.com,2023-06-13 16:16:20,Data Science,,Pending,0.0,Excellent,189.0,1986-05-30 00:00:00,,West Sergiochester,,"final, son",5.0,5.0,4.0,"process, include",0,1376.0,1070.0,Lenovo,2018,Samsung,2019
104,Melissa Crane,20,Female,81.0,+1-409-036-3015,,brownmicheal@taylor.com,1970-12-20 00:00:00,Python,,Active,,Good,198.0,2004-04-12 23:36:00,New Heather,Colemanland,100349,"none, child",3.0,3.0,4.0,"community, sound",1,361.0,403.0,HP,2016,Xiaomi,2023
105,,19,Female,77.0,,,davidsavage@yahoo.com,2021-02-04 07:16:10,Python,,Inactive,,Average,85.0,2021-09-25 12:30:13,"West Billy 17-kv, dom 10",Lake Jerry,,"plan, why",4.0,3.0,4.0,"administration, the",3,282.0,598.0,Dell,2022,Samsung,2022
106,Jeanette Harmon,20,Female,81.0,+1-295-618-2527,,olsonkathy@gmail.com,2020-11-28 07:41:47,Data Science,82.0,Active,,Excellent,235.0,2021-08-12 20:55:45,"Apartment 32, Port Kyleburgh district",Bowerschester,100452,"on, interesting",,,,,,,,,,,
107,,20,Female,89.0,,,christinaclark@hotmail.com,1982-02-17 00:00:00,Data Science,,Inactive,4.5,Excellent,192.0,2023-06-06 04:29:33,"New Amber 19-kv, dom 4",Port Bonniestad,,,,,,,,,,,,,
108,Jennifer Phelps,21,Female,90.0,+1-920-889-0335,0335,bcastro@davis.com,1997-03-27 20:53:00,Python,,Inactive,,Good,183.0,1972-01-20 22:38:21,30197 Mary Fork,Toddstad,,,,,,,,,,,,,
109,Toni Mcdonald,22,Female,61.0,+1-268-951-2037,12037,,1982-01-02 00:00:00,Data Science,100.0,Pending,3.7,Excellent,220.0,2018-02-18 00:00:00,Port David,New Paulton,100223,"possible, book",,,,,,,,,,,
110,,19,Male,,+1-512-465-7244,57244,jenniferyoung@craig-potter.com,1990-07-16 00:00:00,Data Science,,Inactive,3.19,Good,210.0,1993-07-15 00:00:00,,West Justinborough,,,,,,,,,,,,,
111,Justin Bell,21,Male,70.0,+1-707-755-2635,635,,2011-06-29 05:58:09,Python,,Inactive,4.5,Good,252.0,2021-07-05 20:20:00,,Fullerland,,"despite, result",3.0,2.0,4.0,"sound, until",1,1321.0,825.0,Dell,2024,Xiaomi,2018
112,,20,Female,81.0,,,floresmegan@hotmail.com,2020-11-29 01:22:56,Data Science,100.0,Pending,3.56,Good,200.0,2020-06-15 00:00:00,,New Emilytown,,"song, chance",4.0,3.0,3.0,"concern, evidence",5,1473.0,226.0,Lenovo,2017,Samsung,2022
113,Joseph Burton,21,,90.0,,,shannon36@york-vargas.com,1989-02-18 05:14:00,Data Science,100.0,Pending,,Good,270.0,1984-08-15 00:00:00,"Apartment 19, Scotthaven district",East Saraville,100170,"he, magazine",5.0,4.0,3.0,"resource, late",3,945.0,632.0,HP,2022,Samsung,2018
